Time,Search Engine,Rank1,Rank2,Rank3,Rank4,Rank5,Rank6,Rank7,Rank8,Rank9,Rank10
2019-11-19 1:32,Naver,민식이법,첫눈,더 큐어,조현재,눈,2019 첫눈,프리즌,박민정,김유지,아이콘택트
2019-11-19 1:32,Daum,아이 콘택트,민식이법,스트레이트,첫눈,정혜영,최지연,탁현민,국민과의 대화,한국 브라질,요요미
2019-11-19 1:33,Google,나이스지키미 신용등급계산기,병무청,뉴발란스,유산슬,미세먼지,유진박,요요미,김유지,야구 한일전,김세연
2019-11-19 1:33,Naver,민식이법,더 큐어,첫눈,조현재,2019 첫눈,눈,프리즌,박민정,김유지,프로골퍼 박민정
2019-11-19 1:33,Daum,아이 콘택트,민식이법,스트레이트,첫눈,정혜영,탁현민,최지연,요요미,국민과의 대화,한국 브라질
2019-11-19 1:34,Google,나이스지키미 신용등급계산기,병무청,뉴발란스,유산슬,미세먼지,유진박,요요미,김유지,야구 한일전,김세연
2019-11-19 1:34,Naver,민식이법,더 큐어,첫눈,조현재,2019 첫눈,프리즌,눈,박민정,김유지,아이콘택트
2019-11-19 1:34,Daum,아이 콘택트,민식이법,스트레이트,첫눈,정혜영,최지연,탁현민,요요미,국민과의 대화,한국 브라질
2019-11-19 1:35,Google,나이스지키미 신용등급계산기,병무청,뉴발란스,유산슬,미세먼지,유진박,요요미,김유지,야구 한일전,김세연
2019-11-19 1:35,Naver,민식이법,더 큐어,첫눈,조현재,프리즌,2019 첫눈,눈,박민정,김유지,아이콘택트
2019-11-19 1:35,Daum,아이 콘택트,민식이법,스트레이트,첫눈,정혜영,탁현민,최지연,요요미,한국 브라질,국민과의 대화
2019-11-19 1:36,Google,나이스지키미 신용등급계산기,병무청,뉴발란스,유산슬,미세먼지,유진박,요요미,김유지,야구 한일전,김세연
2019-11-19 1:36,Naver,민식이법,더 큐어,첫눈,조현재,프리즌,2019 첫눈,눈,김유지,박민정,아이콘택트
2019-11-19 1:36,Daum,아이 콘택트,민식이법,스트레이트,첫눈,정혜영,탁현민,국민과의 대화,최지연,한국 브라질,요요미
2019-11-19 1:37,Google,나이스지키미 신용등급계산기,병무청,뉴발란스,유산슬,미세먼지,유진박,요요미,김유지,야구 한일전,김세연
2019-11-19 1:37,Naver,민식이법,더 큐어,첫눈,조현재,프리즌,2019 첫눈,눈,김유지,박민정,아이콘택트
2019-11-19 1:37,Daum,민식이법,아이 콘택트,첫눈,스트레이트,탁현민,최지연,정혜영,백지영,국민과의 대화,홍콩 시위
2019-11-19 1:38,Google,나이스지키미 신용등급계산기,병무청,뉴발란스,유산슬,미세먼지,유진박,요요미,김유지,야구 한일전,김세연
2019-11-19 1:38,Naver,민식이법,더 큐어,첫눈,조현재,프리즌,2019 첫눈,눈,김유지,박민정,아이콘택트
2019-11-19 1:38,Daum,민식이법,아이 콘택트,첫눈,스트레이트,탁현민,최지연,정혜영,백지영,홍콩 시위,국민과의 대화
2019-11-19 1:39,Google,나이스지키미 신용등급계산기,병무청,뉴발란스,유산슬,미세먼지,유진박,요요미,김유지,야구 한일전,김세연
2019-11-19 1:39,Naver,민식이법,더 큐어,첫눈,프리즌,조현재,2019 첫눈,눈,김유지,박민정,정준
2019-11-19 1:39,Daum,민식이법,아이 콘택트,첫눈,스트레이트,탁현민,최지연,백지영,정혜영,국민과의 대화,홍콩 시위
2019-11-19 1:49,Google,나이스지키미 신용등급계산기,병무청,뉴발란스,유산슬,미세먼지,유진박,요요미,김유지,야구 한일전,김세연
2019-11-19 1:49,Naver,더 큐어,민식이법,첫눈,프리즌,2019 첫눈,눈,김유지,조현재,정준,아이콘택트
2019-11-19 1:49,Daum,민식이법,스트레이트,아이 콘택트,첫눈,최지연,탁현민,안소미,나경원,백지영,박민정
2019-11-19 2:7,Google,나이스지키미 신용등급계산기,병무청,뉴발란스,유산슬,미세먼지,유진박,요요미,김유지,야구 한일전,김세연
2019-11-19 2:7,Naver,더 큐어,민식이법,첫눈,프리즌,2019 첫눈,눈,김유지,정준,아이콘택트,민식이
2019-11-19 2:7,Daum,민식이법,아이 콘택트,첫눈,스트레이트,탁현민,최지연,안소미,공효진,백지영,요요미
2019-11-19 2:8,Google,나이스지키미 신용등급계산기,병무청,뉴발란스,유산슬,미세먼지,유진박,요요미,김유지,야구 한일전,김세연
2019-11-19 2:8,Naver,더 큐어,민식이법,첫눈,프리즌,2019 첫눈,눈,김유지,정준,아이콘택트,곱창떡볶이
2019-11-19 2:8,Daum,민식이법,아이 콘택트,첫눈,스트레이트,탁현민,최지연,안소미,공효진,백지영,요요미
2019-11-19 9:27,Google,나이스지키미 신용등급계산기,병무청,뉴발란스,유산슬,미세먼지,유진박,요요미,김유지,야구 한일전,김세연
2019-11-19 9:27,Naver,덮는 보일러 바디럽,오퀴즈 아이패드 이벤트,김정렬,프롤린유산균,조정현,남선알미늄,민식이법,구도일패밀리 경품대잔치,첫눈,조진웅
2019-11-19 9:27,Daum,김정렬,조진웅,이낙연,처음학교로,김유지,정준,민식이법,펭수,김학래,스트레이트
2019-11-19 9:28,Google,나이스지키미 신용등급계산기,병무청,뉴발란스,유산슬,미세먼지,유진박,요요미,김유지,야구 한일전,김세연
2019-11-19 9:28,Naver,덮는 보일러 바디럽,오퀴즈 아이패드 이벤트,김정렬,프롤린유산균,조정현,남선알미늄,민식이법,구도일패밀리 경품대잔치,조진웅,김유지
2019-11-19 9:28,Daum,김정렬,조진웅,이낙연,처음학교로,김유지,정준,민식이법,펭수,김학래,스트레이트
2019-11-23 0:55,Google,내일 날씨,지소미아 종료,청룡영화제(2019,Everyday Life,미키정,강지환,엠플레이그라운드,정선아,이정은,겨울왕국2
2019-11-23 0:55,Naver,경수진,양치승 헬스장,이시언,양치승,레디 플레이어 원,이시언 차,강부자,감전의 이해,미키정,기안84
2019-11-23 0:55,Daum,경수진,강부자,양치승,백일섭,감전의 이해,정치합시다,기안84,김나운,이시언,나영석
